project,unit,type,owner,parent,countries,status,start_year,capacity,production,capacity_production_unit,geom,lat,lng,route,url,status_legend
Abadi,,gas_extraction_area,,,Indonesia,discovered,2030 (expected),,,,point,-9.1706,130.46,,https://www.gem.wiki/Abadi_Oil_and_Gas_Field_(Indonesia),proposed_plus
Adhi,,gas_extraction_area,Pakistan Petroleum Limited (39%);Oil and Gas Development Company Limited (50%);Pakistan Oilfields Limited (11%),Government of Pakistan (26.3%);PPL Employees Empowerment Trust (2.9%);Private Investors (9.8%);Oil and Gas Development Company Limited (50%);Attock Oil Company Limited (11%),Pakistan,operating,,,7.79,million boe/y,point,33.154,73.177,,https://www.gem.wiki/Adhi_Oil_and_Gas_Field_(Pakistan),operating
Aghar,,gas_extraction_area,Iran Central Oil Fields Company (100%),National Iranian Oil Company (100%),Iran,operating,1999,,42.95,million boe/y,point,28.595,52.795,,https://www.gem.wiki/Aghar_Gas_Field_(Iran),operating
Ahmedabad,,gas_extraction_area,Oil and Natural Gas Corporation (100%),Oil and Natural Gas Corporation (ONGC) (100%),India,operating,1961,,10.28,million boe/y,point,18.992,80.109,,https://www.gem.wiki/Ahmedabad_Oil_and_Gas_Block_(India),operating
Ande Ande Lumut,,gas_extraction_area,Mitsui & Co (100%),Mitsui & Co (100%),Indonesia,in development,2024 (expected),,,,point,5.4744,105.85,,https://www.gem.wiki/Ande_Ande_Lumut_Oil_and_Gas_Field_(Indonesia),construction_plus
Ankleshwar,,gas_extraction_area,Oil and Natural Gas Corporation (100%),Oil and Natural Gas Corporation (ONGC) (100%),India,operating,,,13.57,million boe/y,point,21.634,72.834,,https://www.gem.wiki/Ankleshwar_Oil_and_Gas_Block_(India),operating
Anoa,,gas_extraction_area,Harbour Energy (28.7%);Kuwait Foreign Petroleum Exploration Company (33%);Petronas (14.3%);PTT (12%);Pertamina (12%),Harbour Energy (28.7%);Kuwait Petroleum Corporation (33%);Petroliam Nasional Berhad (Petronas) (14.3%);PTT PLC (12%);PT Pertamina (12%),Indonesia,operating,1990,,,,point,4.7416,5.7272,,https://www.gem.wiki/Anoa_Oil_and_Gas_Field_(Indonesia),operating
Anyue,,gas_extraction_area,,,China,operating,2014,,,,point,31.345,105.01,,https://www.gem.wiki/Anyue_Gas_Field_(China),operating
Arthit,,gas_extraction_area,"PTT Exploration and ‎‎Production Public Company Limited (PTTEP) (80%);Chevron Thailand (16%);MOECO Thailand Co.,Ltd (4%)",PTT PLC (80%);Chevron (16%);Mitsui & Co (4%),Thailand,operating,2008,,660.87,million boe/y,point,8.22,102.48,,https://www.gem.wiki/Arthit_Oil_and_Gas_Field_(Thailand),operating
Arung-Nowera,,gas_extraction_area,Medco E&P,MedcoEnergi,Indonesia,discovered,2023 (expected),,,,point,-2.9068,117.65,,https://www.gem.wiki/Arung-Nowera_Gas_Field_(Indonesia),proposed_plus
Asap/Merah/Kido (AMK),,gas_extraction_area,Genting Oil Kasuri Pty. Ltd (100%),Genting Berhad (100%),Indonesia,in development,2025 (expected),,0.27,million boe/y,point,-2.4861,133.23,,https://www.gem.wiki/AsapMerahKido_(AMK)_Oil_and_Gas_Project_(Indonesia),construction_plus
Assam,,gas_extraction_area,Oil and Natural Gas Corporation (100%),Oil and Natural Gas Corporation (ONGC) (100%),India,operating,,,10.13,million boe/y,point,18.992,80.109,,https://www.gem.wiki/Assam_Oil_and_Gas_Block_(India),operating
B11,,gas_extraction_area,Shell Malaysia (50%);Petronas Carigali (50%),Shell plc (50%);Petroliam Nasional Berhad (Petronas) (50%),Malaysia,operating,2003,,,,point,4.7252,113.1,,https://www.gem.wiki/B11_Gas_Field_(Malaysia),operating
B14,,gas_extraction_area,,,Malaysia,discovered,,,,,point,4.3841,109.14,,https://www.gem.wiki/B14_Gas_Field_(Malaysia),proposed_plus
Badak,,gas_extraction_area,Pertamina (70%);VICO Indonesia (20%);TotalEnergies E&P Indonesie (10%),PT Pertamina (70%);Eni S.P.A. (10%);BP (10%);TotalEnergies (10%),Indonesia,operating,1977,,4.56,million boe/y,point,-0.3407,117.42,,https://www.gem.wiki/Badak_Oil_and_Gas_Field_(Indonesia),operating
Bakong,,gas_extraction_area,SapuraOMV (40%);Sarawak Shell Berhad (30%);Petronas Carigali (30%),OMV Aktiengesellschaft (20%);Sapura Energy Bhd (20%);Shell plc (30%);Petroliam Nasional Berhad (Petronas) (30%),Malaysia,operating,2020,,,,point,4.779,112.94,,https://www.gem.wiki/Bakong_Gas_Field_(Malaysia),operating
Balal,,gas_extraction_area,National Iranian Oil Company (100%),National Iranian Oil Company (100%),Iran,operating,2003,,14.60,million boe/y,point,26.303,52.536,,https://www.gem.wiki/Balal_Oil_and_Gas_Field_(Iran),operating
Balaroud,,gas_extraction_area,National Iranian Oil Company (100%),National Iranian Oil Company (100%),Iran,in development,,,,,point,32.229,54.259,,https://www.gem.wiki/Balaroud_Oil_and_Gas_Field_(Iran),construction_plus
Bangka,,gas_extraction_area,Chevron (62%);Eni S.P.A. (20%);Tiptop Energy (18%),Chevron (62%);Eni S.P.A. (20%);Tiptop Energy Ltd. (18%),Indonesia,operating,2016,,,,point,-2.9068,117.65,,https://www.gem.wiki/Bangka_Oil_and_Gas_Field_(Indonesia),operating
Bao Vang,,gas_extraction_area,,,Vietnam,discovered,2023 (expected),,,,point,12.979,107.63,,https://www.gem.wiki/Bao_Vang_Gas_Field_(Vietnam),proposed_plus
Bassein & Satellite,,gas_extraction_area,Oil and Natural Gas Corporation (100%),Oil and Natural Gas Corporation (ONGC) (100%),India,operating,,,83.76,million boe/y,point,19.079,72.428,,https://www.gem.wiki/Bassein_&_Satellite_Oil_and_Gas_Block_(India),operating
Bayu Undan,,gas_extraction_area,,,Timor-Leste,operating,2004,,41.61,million boe/y,point,-9.0445,126.22,,https://www.gem.wiki/Bayu_Undan_Oil_and_Gas_Field_(East_Timor),operating
Bayu Undan,,gas_extraction_area,,,Timor-Leste,operating,2004,,41.61,million boe/y,point,-9.0445,126.22,,https://www.gem.wiki/Bayu_Undan_Oil_and_Gas_Field_(East_Timor),operating
Bhit-Badhra,,gas_extraction_area,Prime International Oil & Gas Co. (40%);Royal Dutch Shell (28%);Oil and Gas Development Company Limited (20%);Premier Oil Overseas B.V. (6%);Kuwait Foreign Petroleum Exploration Company Pakistan (6%),Hub Power (20%);Former Eni Employees (20%);Shell plc (nan%);Oil and Gas Development Company Limited (20%);Harbour Energy plc (6%);Kuwait Petroleum Corporation (6%),Pakistan,operating,2003,,1.85,million boe/y,point,28.73,68.483,,https://www.gem.wiki/Bhit-Badhra_Gas_Field_(Pakistan),operating
Bhola North,,gas_extraction_area,Bangladesh Petroleum Exploration (BAPEX),Bangladesh Petroleum Exploration (BAPEX),Bangladesh,discovered,,,,,point,22.722,90.441,,https://www.gem.wiki/Bhola_North_Gas_Field_(Bangladesh),proposed_plus
Binak,,gas_extraction_area,National Iranian Oil Company (100%),National Iranian Oil Company (100%),Iran,operating,1967,,5.52,million boe/y,point,29.762,50.379,,https://www.gem.wiki/Binak_Oil_and_Gas_Field_(Iran),operating
Block B,,gas_extraction_area,,,Vietnam,in development,2025 (expected),,,,point,8.4658,103.93,,https://www.gem.wiki/Block_B_Oil_and_Gas_Project_(Vietnam),construction_plus
Bongkot Main,,gas_extraction_area,PTT Exploration and ‎‎Production Public Company Limited (PTTEP) (44.5%);TotalEnergies E&P Thailand (33.3%);BG Group (22%),PTT PLC (44.5%);TotalEnergies (33.3%);Shell plc (22%),Thailand,operating,1993,,432.76,million boe/y,point,7.829,102.58,,https://www.gem.wiki/Bongkot_Main_Oil_and_Gas_Field_(Thailand),operating
Bongkot South,,gas_extraction_area,PTT Exploration and ‎‎Production Public Company Limited (PTTEP) (44.5%);TotalEnergies E&P Thailand (33.3%);BG Group (22%),PTT PLC (44.5%);TotalEnergies (33.3%);Shell plc (22%),Thailand,operating,2012,,3.97,million boe/y,point,7.53,102.64,,https://www.gem.wiki/Bongkot_South_Oil_and_Gas_Field_(Thailand),operating
Bozhong 13-2,,gas_extraction_area,,,China,discovered,2023 (expected),,,,point,35.928,105.01,,https://www.gem.wiki/Bozhong_13-2_Oil_and_Gas_Field_(China),proposed_plus
Bozi 9,,gas_extraction_area,,,China,operating,2019,,0.90,million boe/y,point,39.345,79.167,,https://www.gem.wiki/Bozi_9_Oil_and_Gas_Field_(China),operating
Bukit Tua,,gas_extraction_area,Petronas (80%);Saka Ketapang Perdan (20%),Petroliam Nasional Berhad (Petronas) (80%);Perusahaan Gas Negara (20%),Indonesia,operating,2015,,6.00,million boe/y,point,-2.9068,117.65,,https://www.gem.wiki/Bukit_Tua_Oil_and_Gas_Field_(Indonesia),operating
CB-OS/2,,gas_extraction_area,Vedanta Limited (Cairn Oil & Gas) (40%);Oil and Natural Gas Corporation (50%);Invenire Energy (10%),Capricorn Energy (40%);Oil and Natural Gas Corporation (ONGC) (50%);Invenire Energy (10%),India,operating,,,3.50,million boe/y,point,18.992,80.109,,https://www.gem.wiki/CB-OS2_Oil_and_Gas_Block_(India),operating
Ca Voi Xanh,,gas_extraction_area,,,Vietnam,in development,2030 (expected),,,,point,15.699,109.6,,https://www.gem.wiki/Ca_Voi_Xanh_Gas_Field_(Vietnam),construction_plus
Cauvery,,gas_extraction_area,Oil and Natural Gas Corporation (100%),Oil and Natural Gas Corporation (ONGC) (100%),India,operating,,,8.94,million boe/y,point,18.992,80.109,,https://www.gem.wiki/Cauvery_Oil_and_Gas_Block_(India),operating
Central Small,,gas_extraction_area,Oil India Limited (100%),Oil India Limited (100%),India,operating,,,5.26,million boe/y,point,18.992,80.109,,https://www.gem.wiki/Central_Small_Oil_and_Gas_Block_(India),operating
Central Tarim,,gas_extraction_area,,,China,operating,,,,,point,39.345,79.167,,https://www.gem.wiki/Central_Tarim_Oil_and_Gas_Field_(China),operating
Changbei,,gas_extraction_area,,,China,operating,2007,,3.53,million boe/y,point,38.013,112.2,,https://www.gem.wiki/Changbei_Gas_Field_(China),operating
Changling,,gas_extraction_area,,,China,operating,2010,,3.76,million boe/y,point,45.454,124.68,,https://www.gem.wiki/Changling_Gas_Field_(China),operating
Changqing,,gas_extraction_area,,,China,operating,1975,,439.80,million boe/y,point,37.447,106.67,,https://www.gem.wiki/Changqing_Oil_Field_(China),operating
Chim Sao Infill Development,,gas_extraction_area,,,Vietnam,discovered,,,5.66,million boe/y,point,7.129,108.48,,https://www.gem.wiki/Chim_Sao_Infill_Development_Oil_and_Gas_Field_(Vietnam),proposed_plus
Chongqing,,gas_extraction_area,,,China,operating,2017,,41.18,million boe/y,point,31.345,105.01,,https://www.gem.wiki/Chongqing_Gas_Field_(China),operating
Corridor,,gas_extraction_area,MedcoEnergi (54%);Repsol (36%);Pertamina (10%),MedcoEnergi (54%);Repsol SA (36%);PT Pertamina (10%),Indonesia,operating,,,50.47,million boe/y,point,-2.519,103.39,,https://www.gem.wiki/Corridor_Gas_Block_(Indonesia),operating
Dabei,,gas_extraction_area,,,China,in development,,,,,point,39.535,82.321,,https://www.gem.wiki/Dabei_Gas_Field_(China),construction_plus
Damar,,gas_extraction_area,ExxonMobil Exploration & Production Malaysia (50%);Petronas Carigali (50%),ExxonMobil (50%);Petroliam Nasional Berhad (Petronas) (50%),Malaysia,operating,2014,,13.43,million boe/y,point,6.75,103.63,,https://www.gem.wiki/Damar_Gas_Field_(Malaysia),operating
Dina 2,,gas_extraction_area,,,China,operating,2009,,,,point,41.796,84.552,,https://www.gem.wiki/Dina_2_Gas_Field_(China),operating
Dong Mun,,gas_extraction_area,APICO LLC (100%),PTT PLC (72.8%);Jadestone Energy (27.2%),Thailand,discovered,,,,,point,16.792,103.22,,https://www.gem.wiki/Dong_Mun_Gas_Field_(Thailand),proposed_plus
Donggi,,gas_extraction_area,MedcoEnergi;Pertamina,MedcoEnergi;PT Pertamina,Indonesia,operating,,,,,point,-1.4903,122.13,,https://www.gem.wiki/Donggi_Gas_Field_(Indonesia),operating
Dukouhe,,gas_extraction_area,,,China,in development,,,,,point,35.928,105.01,,https://www.gem.wiki/Dukouhe_Gas_Field_(China),construction_plus
E8,,gas_extraction_area,Shell Malaysia (50%);Petronas Carigali (50%),Shell plc (50%);Petroliam Nasional Berhad (Petronas) (50%),Malaysia,operating,2006,,,,point,4.0845,112.31,,https://www.gem.wiki/E8_Gas_Field_(Malaysia),operating
Eram,,gas_extraction_area,,,Iran,discovered,,,,,point,32.229,54.259,,https://www.gem.wiki/Eram_Gas_Field_(Iran),proposed_plus
Erawan,,gas_extraction_area,Mubadala Investment Company (40%);PTT Exploration and ‎‎Production Public Company Limited (PTTEP) (60%),Mubadala Investment Company (40%);PTT PLC (60%),Thailand,operating,1981,,452.86,million boe/y,point,9.152,101.44,,https://www.gem.wiki/Erawan_Oil_and_Gas_Field_(Thailand),operating
F14,,gas_extraction_area,Sarawak Shell Berhad (50%);Petronas Carigali (50%),Shell plc (50%);Petroliam Nasional Berhad (Petronas) (50%),Malaysia,in development,,,,,point,4.9403,112.53,,https://www.gem.wiki/F14_Gas_Field_(Malaysia),construction_plus
F9,,gas_extraction_area,Petronas Carigali (100%),Petroliam Nasional Berhad (Petronas) (100%),Malaysia,operating,2011,,,,point,4.8144,111.47,,https://www.gem.wiki/F9_Gas_Field_(Malaysia),operating
Gachsaran,,gas_extraction_area,National Iranian Oil Company (100%),National Iranian Oil Company (100%),Iran,operating,1959,,204.40,million boe/y,point,30.287,50.742,,https://www.gem.wiki/Gachsaran_Oil_and_Gas_Field_(Iran),operating
Gendalo-Gehem,,gas_extraction_area,Eni S.P.A. (82%);Sinopec (18%),Eni S.P.A. (82%);Sinopec Group (18%),Indonesia,in development,2027 (expected),,,,point,-0.46385,118.13,,https://www.gem.wiki/Gendalo-Gehem_Oil_and_Gas_Field_(Indonesia),construction_plus
Geronggong-Jagus East,,gas_extraction_area,,,Brunei,in development,2024 (expected),,113.15,million boe/y,point,5.7737,114.31,,https://www.gem.wiki/Geronggong-Jagus_East_Oil_and_Gas_Field_(Brunei),construction_plus
Gorek,,gas_extraction_area,SapuraOMV (40%);Sarawak Shell Berhad (30%);Petronas Carigali (30%),OMV Aktiengesellschaft (20%);Sapura Energy Bhd (20%);Shell plc (30%);Petroliam Nasional Berhad (Petronas) (30%),Malaysia,operating,2020,,,,point,4.4524,112.82,,https://www.gem.wiki/Gorek_Gas_Field_(Malaysia),operating
Greater Chandmari,,gas_extraction_area,Oil India Limited (100%),Oil India Limited (100%),India,operating,,,7.98,million boe/y,point,27.324,94.969,,https://www.gem.wiki/Greater_Chandmari_Oil_and_Gas_Block_(India),operating
Greater Hapjan,,gas_extraction_area,Oil India Limited (100%),Oil India Limited (100%),India,operating,,,11.63,million boe/y,point,27.334,95.057,,https://www.gem.wiki/Greater_Hapjan_Oil_and_Gas_Block_(India),operating
Greater Jorajan,,gas_extraction_area,Oil India Limited (100%),Oil India Limited (100%),India,operating,,,3.75,million boe/y,point,27.339,95.49,,https://www.gem.wiki/Greater_Jorajan_Oil_and_Gas_Block_(India),operating
Greater Naharkatia,,gas_extraction_area,Oil India Limited (100%),Oil India Limited (100%),India,operating,,,3.29,million boe/y,point,27.367,95.165,,https://www.gem.wiki/Greater_Naharkatia_Oil_and_Gas_Block_(India),operating
Guntong,,gas_extraction_area,ExxonMobil (78%);Petronas Carigali (22%),ExxonMobil (78%);Petroliam Nasional Berhad (Petronas) (22%),Malaysia,operating,1985,,6.13,million boe/y,point,5.643,105.04,,https://www.gem.wiki/Guntong_Oil_and_Gas_Field_(Malaysia),operating
Handil,,gas_extraction_area,Pertamina,PT Pertamina,Indonesia,operating,1975,,7.34,million boe/y,point,-0.0892,117.21,,https://www.gem.wiki/Handil_Oil_and_Gas_Field_(Indonesia),operating
Heera & Neelam,,gas_extraction_area,Oil and Natural Gas Corporation (100%),Oil and Natural Gas Corporation (ONGC) (100%),India,operating,,,23.95,million boe/y,point,18.655,72.825,,https://www.gem.wiki/Heera_&_Neelam_Oil_and_Gas_Block_(India),operating
Helang,,gas_extraction_area,JX Nippon (75%);Petronas Carigali (25%),ENEOS Group (75%);Petroliam Nasional Berhad (Petronas) (25%),Malaysia,operating,2003,,,,point,4.786,113.5,,https://www.gem.wiki/Helang_Gas_Field_(Malaysia),operating
Hengam,,gas_extraction_area,National Iranian Oil Company (100%),National Iranian Oil Company (100%),Iran,operating,2010,,10.95,million boe/y,point,26.421,55.966,,https://www.gem.wiki/Hengam_Oil_and_Gas_Field_(Iran),operating
Hetianhe,,gas_extraction_area,,,China,operating,2004,,,,point,41.472,79.871,,https://www.gem.wiki/Hetianhe_Gas_Field_(China),operating
Homa,,gas_extraction_area,National Iranian Oil Company (100%),National Iranian Oil Company (100%),Iran,operating,,,,,point,27.853,52.801,,https://www.gem.wiki/Homa_Gas_Field_(Iran),operating
Huizhou 21-1,,gas_extraction_area,,,China,operating,2006,,4.53,million boe/y,point,35.928,105.01,,https://www.gem.wiki/Huizhou_21-1_Oil_and_Gas_Field_(China),operating
Hutubi,,gas_extraction_area,,,China,operating,1999,,3.22,million boe/y,point,46.688,86.488,,https://www.gem.wiki/Hutubi_Gas_Field_(China),operating
Jambaran-Tiung Biru (JTB),,gas_extraction_area,Pertamina EP Cepu (100%),PT Pertamina (100%),Indonesia,operating,2022,,10.46,million boe/y,point,-7.2398,111.73,,https://www.gem.wiki/Jambaran-Tiung_Biru_(JTB)_Gas_Field_(Indonesia),operating
Jambu Aye Utara (JAU),,gas_extraction_area,Eni S.P.A.,Eni S.P.A.,Indonesia,discovered,,,,,point,-2.9068,117.65,,https://www.gem.wiki/Jambu_Aye_Utara_(JAU)_Gas_Field_(Indonesia),proposed_plus
Jangkrik,,gas_extraction_area,Eni S.P.A. (55%);Neptune Energy (33.3%);PT Saka Energi Indonesia (11.7%),Eni S.P.A. (55%);China Investment Corporation (16.3%);The Carlyle Group (10.2%);CVC Capital Partners (6.8%);Perusahaan Gas Negara (11.7%),Indonesia,operating,2017,,54.75,million boe/y,point,-2.9068,117.65,,https://www.gem.wiki/Jangkrik_Oil_and_Gas_Project_(Indonesia),operating
Jerun,,gas_extraction_area,SapuraOMV (40%);Sarawak Shell Berhad (30%);Petronas Carigali (30%),OMV Aktiengesellschaft (20%);Sapura Energy Bhd (20%);Shell plc (30%);Petroliam Nasional Berhad (Petronas) (30%),Malaysia,in development,2024 (expected),,,,point,4.615,112.1,,https://www.gem.wiki/Jerun_Gas_Field_(Malaysia),construction_plus
Jilin,,gas_extraction_area,,,China,operating,,,54.98,million boe/y,point,45.454,124.68,,https://www.gem.wiki/Jilin_Oil_and_Gas_Complex_(China),operating
Jintan,,gas_extraction_area,JX Nippon (37.5%);Shell Malaysia (37.5%);Petronas Carigali (25%),ENEOS Group (37.5%);Shell plc (37.5%);Petroliam Nasional Berhad (Petronas) (25%),Malaysia,operating,2004,,,,point,5.378,111.87,,https://www.gem.wiki/Jintan_Gas_Field_(Malaysia),operating
Jinzhou 25-1 South,,gas_extraction_area,,,China,operating,2009,,0.01,million boe/y,point,40.765,123.13,,https://www.gem.wiki/Jinzhou_25-1_South_Oil_and_Gas_Field_(China),operating
KG-DWN-98/3,,gas_extraction_area,Reliance Industries Limited (66.7%);BP Exploration (Alpha) Limited (33.3%),Reliance Industries Limited (66.7%);BP P.L.C. (33.3%),India,operating,,,11.99,million boe/y,point,18.992,80.109,,https://www.gem.wiki/KG-DWN-98_3_Oil_and_Gas_Block_(India),operating
KG-OSN-2001/3,,gas_extraction_area,Oil and Natural Gas Corporation (80%);Gujarat State Petroleum Corporation Limited (10%);Jubilant Oil & Gas Private Limited (10%),Oil and Natural Gas Corporation (ONGC) (80%);GSPC Group (10%);Jubilant Bhartia Group (10%),India,operating,,,5.90,million boe/y,point,18.992,80.109,,https://www.gem.wiki/KG-OSN-2001_3_Oil_and_Gas_Block_(India),operating
Kali Berau Dalam,,gas_extraction_area,Repsol (45%);Petronas (45%);Mitsui & Co (10%),Repsol SA (45%);Petroliam Nasional Berhad (Petronas) (45%);Mitsui & Co (10%),Indonesia,discovered,,,,,point,-2.9068,117.65,,https://www.gem.wiki/Kali_Berau_Dalam_Gas_Field_(Indonesia),proposed_plus
Kaliberau Dalam,,gas_extraction_area,,,Indonesia,discovered,2027 (expected),,,,point,-2.187,103.78,,https://www.gem.wiki/Kaliberau_Dalam_Gas_Field_(Indonesia),proposed_plus
Kandhkot,,gas_extraction_area,Pakistan Petroleum Limited (100%),Government of Pakistan (67.5%);PPL Employees Empowerment Trust (7.3%);Private Investors (25.1%),Pakistan,operating,1987,,7.72,million boe/y,point,28.224,69.241,,https://www.gem.wiki/Kandhkot_Oil_and_Gas_Field_(Pakistan),operating
Kangan,,gas_extraction_area,National Iranian Oil Company (100%),National Iranian Oil Company (100%),Iran,operating,1980,,,,point,27.966,52.012,,https://www.gem.wiki/Kangan_Gas_Field_(Iran),operating
Kanowit,,gas_extraction_area,Petronas Carigali (100%),Petroliam Nasional Berhad (Petronas) (100%),Malaysia,operating,2011,,,,point,4.3841,109.14,,https://www.gem.wiki/Kanowit_Gas_Field_(Malaysia),operating
Karamay,,gas_extraction_area,,,China,operating,1958,,99.97,million boe/y,point,45.599,85.645,,https://www.gem.wiki/Karamay_Oil_and_Gas_Field_(China),operating
Karamba,,gas_extraction_area,,,Indonesia,discovered,2023 (expected),,,,point,-2.9068,117.65,,https://www.gem.wiki/Karamba_Gas_Field_(Indonesia),proposed_plus
Kasawari,,gas_extraction_area,Petronas Carigali (100%),Petroliam Nasional Berhad (Petronas) (100%),Malaysia,in development,2023 (expected),,,,point,4.9803,112.98,,https://www.gem.wiki/Kasawari_Oil_and_Gas_Field_(Malaysia),construction_plus
Kebabangan,,gas_extraction_area,Petronas Carigali (40%);ConocoPhillips (30%);Shell (30%),Petroliam Nasional Berhad (Petronas) (40%);ConocoPhillips (30%);Shell plc (30%),Malaysia,operating,2014,,11.76,million boe/y,point,6.4435,115.38,,https://www.gem.wiki/Kebabangan_(KBB)_Oil_and_Gas_Field_(Malaysia),operating
Kebabangan Phase 2,,gas_extraction_area,,,Malaysia,in development,2018,,,,point,6.4435,115.38,,https://www.gem.wiki/Kebabangan_(KBB)_Oil_and_Gas_Field_(Malaysia),construction_plus
Kela 2,,gas_extraction_area,,,China,operating,2004,,62.95,million boe/y,point,41.227,83.805,,https://www.gem.wiki/Kela_2_Gas_Field_(China),operating
Kelameili,,gas_extraction_area,,,China,operating,2008,,,,point,46.303,89.827,,https://www.gem.wiki/Kelameili_Gas_Field_(China),operating
Kelidang Cluster,,gas_extraction_area,,,Brunei,discovered,2025 (expected),,,,point,5.8034,113.8,,https://www.gem.wiki/Kelidang_Cluster_Gas_Complex_(Brunei),proposed_plus
Ken Bau,,gas_extraction_area,Eni S.P.A. (50%);Essar Oil & Gas Exploration & Production Ltd. (50%),Eni S.P.A. (50%);Essar (50%),Vietnam,discovered,2028,,,,point,12.979,107.63,,https://www.gem.wiki/Ken_Bau_Oil_and_Gas_Field_(Vietnam),proposed_plus
Kenli 16-1,,gas_extraction_area,,,China,in development,2021 (expected),,2.74,million boe/y,point,35.928,105.01,,https://www.gem.wiki/Kenli_16-1_Oil_and_Gas_Field_(China),construction_plus
Kenli 6-1,,gas_extraction_area,,,China,discovered,,,,,point,35.928,105.01,,https://www.gem.wiki/Kenli_6-1_Oil_and_Gas_Field_(China),proposed_plus
Kerendan,,gas_extraction_area,Ophir Energy (70%);PT Saka Bangkanai Kalimantan (30%),MedcoEnergi (70%);Perusahaan Gas Negara (30%),Indonesia,operating,2016,,1.02,million boe/y,point,-2.9068,117.65,,https://www.gem.wiki/Kerendan_Gas_Field_(Indonesia),operating
Keshen,,gas_extraction_area,,,China,operating,2015,,35.30,million boe/y,point,43.624,81.726,,https://www.gem.wiki/Keshen_Gas_Field_(China),operating
Khangiran,,gas_extraction_area,National Iranian Oil Company (100%),National Iranian Oil Company (100%),Iran,operating,1980,,36.50,million boe/y,point,36.567,60.767,,https://www.gem.wiki/Khangiran_Gas_Field_(Iran),operating
Kinabalu,,gas_extraction_area,Petronas Carigali,Petroliam Nasional Berhad (Petronas),Malaysia,operating,1997,,,,point,5.378,111.87,,https://www.gem.wiki/Kinabalu_Oil_Field_(Malaysia),operating
Kinh Ngu Trang/Kinh Ngu Trang Nam,,gas_extraction_area,,,Vietnam,discovered,2024 (expected),,,,point,12.979,107.63,,https://www.gem.wiki/Kinh_Ngu_Trang_Kinh_Ngu_Trang_Nam_Oil_and_Gas_Field_(Vietnam),proposed_plus
Kish,,gas_extraction_area,National Iranian Oil Company (100%),National Iranian Oil Company (100%),Iran,in development,,,,,point,26.529,53.943,,https://www.gem.wiki/Kish_Oil_and_Gas_Field_(Iran),construction_plus
Kumang,,gas_extraction_area,Petronas Carigali (100%),Petroliam Nasional Berhad (Petronas) (100%),Malaysia,operating,2011,,,,point,4.3841,109.14,,https://www.gem.wiki/Kumang_Gas_Field_(Malaysia),operating
Kumchai,,gas_extraction_area,Oil India Limited (100%),Oil India Limited (100%),India,operating,,,24.75,million boe/y,point,27.724,95.999,,https://www.gem.wiki/Kumchai_Oil_and_Gas_Block_(India),operating
Kunnar Pasakhi Deep-Tando Allah Yar (KPD-TAY),,gas_extraction_area,Government Holdings (Private) Limited (22.5%);Oil and Gas Development Company Limited,Government Holdings (Private) Limited (22.5%);Oil and Gas Development Company Limited (22.5%),Pakistan,operating,,,5.17,million boe/y,point,28.73,68.483,,https://www.gem.wiki/Kunnar_Pasakhi_Deep-Tando_Allah_Yar_(KPD-TAY)_Oil_and_Gas_Project_(Pakistan),operating
Lang Lebah,,gas_extraction_area,,,Malaysia,discovered,2026 (expected),,,,point,5.0832,113.03,,https://www.gem.wiki/Lang_Lebah_Gas_Field_(Malaysia),proposed_plus
Lapisan Parigi,,gas_extraction_area,Pertamina EP,PT Pertamina,Indonesia,operating,,,3.65,million boe/y,point,-2.9068,117.65,,https://www.gem.wiki/Lapisan_Parigi_Gas_Field_(Indonesia),operating
Larak,,gas_extraction_area,SapuraOMV (40%);Sarawak Shell Berhad (30%);Petronas Carigali (30%),OMV Aktiengesellschaft (20%);Sapura Energy Bhd (20%);Shell plc (30%);Petroliam Nasional Berhad (Petronas) (30%),Malaysia,operating,2019,,,,point,4.779,112.94,,https://www.gem.wiki/Larak_Gas_Field_(Malaysia),operating
Latif,,gas_extraction_area,Pakistan Petroleum Limited (33.3%);Prime International Oil & Gas Co. (33.3%);United Energy Pakistan Limited,Government of Pakistan (22.5%);PPL Employees Empowerment Trust (2.4%);Private Investors (8.4%);Hub Power (16.7%);Former Eni Employees (16.7%);United Energy Group (33.3%),Pakistan,operating,,,1.60,million boe/y,point,26.964,69.314,,https://www.gem.wiki/Latif_Oil_and_Gas_Field_(Pakistan),operating
Ledang,,gas_extraction_area,,,Malaysia,discovered,,,,,point,4.3841,109.14,,https://www.gem.wiki/Ledang_Gas_Field_(Malaysia),proposed_plus
Ledong 22-1,,gas_extraction_area,,,China,operating,2009,,,,point,17.758,110.06,,https://www.gem.wiki/Ledong_22-1_Gas_Field_(China),operating
Lengo,,gas_extraction_area,Coro Energy (42.5%);KrisEnergy (42.5%);Satria Energindo (10%);Satria Wijaya Kusuma (5%),Coro Energy (42.5%);KrisEnergy (42.5%);Satria Group (10%);Satria Group (5%),Indonesia,discovered,,,,,point,-2.9068,117.65,,https://www.gem.wiki/Lengo_Gas_Field_(Indonesia),proposed_plus
Liaohe,,gas_extraction_area,,,China,operating,1970,,76.28,million boe/y,point,41.241,121.48,,https://www.gem.wiki/Liaohe_Oil_and_Gas_Field_(China),operating
Limbayong,,gas_extraction_area,Petronas Carigali (100%),Petroliam Nasional Berhad (Petronas) (100%),Malaysia,discovered,2025 (expected),,23.65,million boe/y,point,5.888,114.51,,https://www.gem.wiki/Limbayong_Gas_Field_(Malaysia),proposed_plus
