project,unit,type,owner,parent,countries,status,start_year,capacity,production,capacity_production_unit,geom,lat,lng,route,url,status_legend
Son My I power station,1,gas_power_plant,Sojitz Corp [18.8%]; Pacific Corp [25.0%]; Kyushu Electric Power Co Inc [18.8%]; EDF [37.5%],Pacific Group JSC [25.0%]; Kyushu Electric Power Co Inc [18.8%]; Sojitz Corp [18.8%],Vietnam,pre-construction,2030,2250,,MW,point,10.65,107.68,,https://www.gem.wiki/Son_My_I_power_station,pre-construction
Son My II power station,1,gas_power_plant,AES Corp,AES Corp,Vietnam,pre-construction,2025,750,,MW,point,10.656,107.65,,https://www.gem.wiki/Son_My_II_power_station,pre-construction
Son My II power station,2,gas_power_plant,AES Corp,AES Corp,Vietnam,pre-construction,2025,750,,MW,point,10.656,107.65,,https://www.gem.wiki/Son_My_II_power_station,pre-construction
Son My II power station,3,gas_power_plant,AES Corp,AES Corp,Vietnam,pre-construction,2025,750,,MW,point,10.656,107.65,,https://www.gem.wiki/Son_My_II_power_station,pre-construction
Sonagazi Feni power station,1,gas_power_plant,Electricity Generation Company of Bangladesh (EGCB),Electricity Generation Company of Bangladesh (EGCB),Bangladesh,announced,2028,550,,MW,point,22.863,91.391,,https://www.gem.wiki/Sonagazi_Feni_power_station,proposed_plus
Sonagazi Feni power station,2,gas_power_plant,Electricity Generation Company of Bangladesh (EGCB),Electricity Generation Company of Bangladesh (EGCB),Bangladesh,announced,2032,550,,MW,point,22.863,91.391,,https://www.gem.wiki/Sonagazi_Feni_power_station,proposed_plus
Sonagazi Feni power station,3,gas_power_plant,Electricity Generation Company of Bangladesh (EGCB),Electricity Generation Company of Bangladesh (EGCB),Bangladesh,announced,2034,550,,MW,point,22.863,91.391,,https://www.gem.wiki/Sonagazi_Feni_power_station,proposed_plus
Sonagazi Feni power station,4,gas_power_plant,Electricity Generation Company of Bangladesh (EGCB),Electricity Generation Company of Bangladesh (EGCB),Bangladesh,announced,2036,550,,MW,point,22.863,91.391,,https://www.gem.wiki/Sonagazi_Feni_power_station,proposed_plus
Songdo CHP power station,1,gas_power_plant,Incheon Total Energy Co Ltd; Incheon Total Energy Co Ltd; Incheon Total Energy Co Ltd,GS Holdings Corp [50.0%],South Korea,operating,2007,207,,MW,point,37.37,126.64,,https://www.gem.wiki/Songdo_CHP_power_station,operating
Songkhla Chana power station,1,gas_power_plant,Korea Western Power Co Ltd,Korea Electric Power Corp,Thailand,announced,,1700,,MW,point,7.3124,100.67,,https://www.gem.wiki/Songkhla_Chana_power_station,proposed_plus
