project,unit,type,owner,parent,countries,status_tabular,start_year,capacity,production,units,geom,lat,lng,route,url,status
Guangdong Chenghai Yixin Distributed Gas power station,1-2,gas_power_plant,Shantou Yixin Gas Distributed Energy Co Ltd,Wuxi Huaguang Environment & Energy Group Co Ltd [49.50%]; Jiangsu Junhui Enterprise Management Center (Limited Partnership) [33.70%]; Jiangsu Junhui Construction Group Co Ltd [7.60%]; Nanjing Junhui New Energy Technology Co Ltd [5.70%]; other [3.50%],China,construction,2024,75,,MW,point,23.541,116.82,,https://www.gem.wiki/Guangdong_Chenghai_Yixin_Distributed_Gas_power_station,construction_plus
Guangdong Chenghai Yixin Distributed Gas power station,2-1,gas_power_plant,Shantou Yixin Gas Distributed Energy Co Ltd,Wuxi Huaguang Environment & Energy Group Co Ltd [49.50%]; Jiangsu Junhui Enterprise Management Center (Limited Partnership) [33.70%]; Jiangsu Junhui Construction Group Co Ltd [7.60%]; Nanjing Junhui New Energy Technology Co Ltd [5.70%]; other [3.50%],China,pre-construction,2024,75,,MW,point,23.541,116.82,,https://www.gem.wiki/Guangdong_Chenghai_Yixin_Distributed_Gas_power_station,pre-construction
Guangdong Chenghai Yixin Distributed Gas power station,2-2,gas_power_plant,Shantou Yixin Gas Distributed Energy Co Ltd,Wuxi Huaguang Environment & Energy Group Co Ltd [49.50%]; Jiangsu Junhui Enterprise Management Center (Limited Partnership) [33.70%]; Jiangsu Junhui Construction Group Co Ltd [7.60%]; Nanjing Junhui New Energy Technology Co Ltd [5.70%]; other [3.50%],China,pre-construction,2024,75,,MW,point,23.541,116.82,,https://www.gem.wiki/Guangdong_Chenghai_Yixin_Distributed_Gas_power_station,pre-construction
Guangdong Energy Jieyang Dananhai power station,1,gas_power_plant,Guangdong Yudean Dananhai Smart Energy Co Ltd,Guangdong Electric Power Development Co Ltd,China,pre-construction,2024,480,,MW,point,22.985,116.17,,https://www.gem.wiki/Guangdong_Energy_Jieyang_Dananhai_power_station,pre-construction
Guangdong Energy Jieyang Dananhai power station,2,gas_power_plant,Guangdong Yudean Dananhai Smart Energy Co Ltd,Guangdong Electric Power Development Co Ltd,China,pre-construction,2024,480,,MW,point,22.985,116.17,,https://www.gem.wiki/Guangdong_Energy_Jieyang_Dananhai_power_station,pre-construction
Guangdong Gaoyao Prefabricated Vegetable Industrial Park power station,1,gas_power_plant,,,China,announced,,240,,MW,point,23.045,112.51,,https://www.gem.wiki/Guangdong_Gaoyao_Prefabricated_Vegetable_Industrial_Park_power_station,proposed_plus
Guangdong Huizhou New Material Industrial Park power station,1,gas_power_plant,Guangdong Yuedian Huixin Thermal Power Co Ltd,Guangdong Electric Power Development Co Ltd [85.00%]; Huidong County Public Utility Development Group Co Ltd [7.50%]; Huizhou Industrial Investment Group Co Ltd [7.50%],China,pre-construction,2025,460,,MW,point,22.903,114.61,,https://www.gem.wiki/Guangdong_Huizhou_New_Material_Industrial_Park_power_station,pre-construction
Guangdong Huizhou New Material Industrial Park power station,2,gas_power_plant,Guangdong Yuedian Huixin Thermal Power Co Ltd,Guangdong Electric Power Development Co Ltd [85.00%]; Huidong County Public Utility Development Group Co Ltd [7.50%]; Huizhou Industrial Investment Group Co Ltd [7.50%],China,pre-construction,2025,460,,MW,point,22.903,114.61,,https://www.gem.wiki/Guangdong_Huizhou_New_Material_Industrial_Park_power_station,pre-construction
Guangdong Huizhou Pinghai power plant,1,gas_power_plant,Guangdong Huizhou Pinghai Power Plant Co Ltd,Guangdong Hanjian Holding Co Ltd [54.40%]; Guangdong Electric Power Development Co Ltd [45.00%]; other [0.60%],China,announced,,600,,MW,point,22.609,114.74,,https://www.gem.wiki/Guangdong_Huizhou_Pinghai_power_plant,proposed_plus
Guangdong Huizhou Pinghai power plant,2,gas_power_plant,Guangdong Huizhou Pinghai Power Plant Co Ltd,Guangdong Hanjian Holding Co Ltd [54.40%]; Guangdong Electric Power Development Co Ltd [45.00%]; other [0.60%],China,announced,,600,,MW,point,22.609,114.74,,https://www.gem.wiki/Guangdong_Huizhou_Pinghai_power_plant,proposed_plus
Guangdong Shajiao power complex,1,gas_power_plant,Guangdong Energy Group Co Ltd,Guangdong Hengjian Investment Holding Co Ltd [76.00%]; China Huaneng Group [24.00%],China,pre-construction,2024,650,,MW,point,22.749,113.67,,https://www.gem.wiki/Guangdong_Shajiao_power_complex,pre-construction
Guangdong Shajiao power complex,2,gas_power_plant,Guangdong Energy Group Co Ltd,Guangdong Hengjian Investment Holding Co Ltd [76.00%]; China Huaneng Group [24.00%],China,pre-construction,2024,650,,MW,point,22.749,113.67,,https://www.gem.wiki/Guangdong_Shajiao_power_complex,pre-construction
Guangdong Shanwei Haifeng power station,1-1,gas_power_plant,Guangdong Energy Group Co Ltd,Guangdong Hengjian Investment Holding Co Ltd [76.00%]; China Huaneng Group [24.00%],China,pre-construction,2025,460,,MW,point,23.058,115.4,,https://www.gem.wiki/Guangdong_Shanwei_Haifeng_power_station,pre-construction
Guangdong Shanwei Haifeng power station,1-2,gas_power_plant,Guangdong Energy Group Co Ltd,Guangdong Hengjian Investment Holding Co Ltd [76.00%]; China Huaneng Group [24.00%],China,pre-construction,2025,120,,MW,point,23.058,115.4,,https://www.gem.wiki/Guangdong_Shanwei_Haifeng_power_station,pre-construction
Guangdong Shanwei Haifeng power station,2-1,gas_power_plant,Guangdong Energy Group Co Ltd,Guangdong Hengjian Investment Holding Co Ltd [76.00%]; China Huaneng Group [24.00%],China,announced,,460,,MW,point,23.058,115.4,,https://www.gem.wiki/Guangdong_Shanwei_Haifeng_power_station,proposed_plus
